nombre,frec,edad_media
PEDRO MANUEL,8873,39.6
ALEXANDRE,8825,24.5
ADAM,8786,8.3
JUAN DIOS,8780,45.6
JAIRO,8779,18.5
FRANCISCO MIGUEL,8736,36.8
JOSE FERNANDO,8692,43.1
IGOR,8675,29.4
JULEN,8673,14.6
RUFINO,8656,62.0
CONSTANTIN,8523,39.7
LEANDRO,8389,48.7
JUAN VICENTE,8333,44.1
EZEQUIEL,8331,35.3
JACOBO,8216,25.7
ENEKO,8201,15.9
MANUEL JOSE,8188,43.4
HASSAN,8178,37.2
CARLOS MANUEL,8170,37.1
ROBERT,7997,35.7
ANTONIO LUIS,7903,41.4
ANDREU,7866,28.0
PEDRO MARIA,7818,52.2
ALEXIS,7800,22.4
ANTONIO MIGUEL,7795,38.9
JUAN ANDRES,7792,39.8
ANTONIO JAVIER,7725,34.0
JOSE DANIEL,7718,31.3
ERIK,7702,11.1
OLIVER,7697,20.7
CLEMENTE,7667,57.7
JUAN DIEGO,7659,29.3
LUIS JAVIER,7651,39.4
FELICIANO,7641,61.7
GASPAR,7633,54.0
JORGE LUIS,7580,36.6
LUIS CARLOS,7533,40.3
BASILIO,7529,57.8
HILARIO,7404,60.2
JAN,7404,14.3
PEDRO JESUS,7382,36.0
CAYETANO,7344,48.9
RAIMUNDO,7337,57.2
MARIAN,7295,35.2
NICOLAE,7272,38.8
JUAN ANGEL,7189,42.9
EVARISTO,7127,58.9
ANGEL MANUEL,6967,38.4
JOSUE,6958,21.7
NESTOR,6957,26.7
FABIAN,6828,34.9
MARCIAL,6790,56.5
BENIGNO,6787,62.0
FLORIN,6776,31.8
KHALID,6736,30.9
ELISEO,6721,57.9
LAUREANO,6706,58.7
MARCELO,6695,47.7
FRANCESC XAVIER,6659,40.9
MANEL,6622,32.2
SEGUNDO,6616,63.1
NARCISO,6585,58.7
IMANOL,6555,24.7
RICARD,6547,33.0
CECILIO,6495,58.6
ABDELKADER,6479,40.8
BERNARDINO,6440,59.1
MUHAMMAD,6349,33.0
ABDELLAH,6305,36.4
PATRICIO,6271,50.0
JUAN ALBERTO,6207,35.9
VALERIANO,6199,60.5
DEMETRIO,6156,60.8
ANDONI,6146,25.2
ANGEL MARIA,6124,48.1
JESUS ANTONIO,6117,44.3
LEOPOLDO,6098,54.9
MICHAEL,5978,35.7
CESAREO,5960,60.3
JOSEBA,5919,28.7
FERNANDO JOSE,5888,37.1
JOSU,5874,26.7
LUIS ENRIQUE,5860,37.1
ROBERTO CARLOS,5854,29.6
ANASTASIO,5842,64.0
CAMILO,5803,53.0
CIPRIANO,5741,62.0
MAURICIO,5695,43.9
LUCIO,5686,61.7
PEDRO PABLO,5666,40.4
HICHAM,5630,27.0
MARCEL,5555,29.4
ARITZ,5546,17.7
ABDELAZIZ,5499,37.1
ANTONIO FRANCISCO,5462,40.3
FRANCISCO LUIS,5462,42.5
MIHAI,5440,36.4
BRAHIM,5421,32.9
BIENVENIDO,5392,57.6
RODOLFO,5382,51.3
ANSELMO,5373,58.6
TEOFILO,5349,64.0
OCTAVIO,5320,49.4
IAGO,5313,13.9
EULOGIO,5309,60.9
STEFAN,5301,37.5
BALTASAR,5298,56.1
YAGO,5283,11.6
CASIMIRO,5256,62.5
AMADEO,5245,57.7
MAURO,5199,24.9
BERNABE,5193,52.4
IBAI,5185,12.1
PLACIDO,5158,58.7
ALEXANDRU,5080,32.3
PEDRO MIGUEL,5076,39.6
PEDRO JAVIER,5069,33.8
BERNAT,5044,19.8
LAZARO,5039,53.2
BRIAN,5032,23.0
CELSO,4961,56.9
FULGENCIO,4938,57.2
IAN,4911,13.8
BRAIS,4880,11.0
NIL,4878,8.1
MARIUS,4873,30.7
BALDOMERO,4867,58.2
HERMINIO,4856,60.4
JOSE FELIX,4829,44.9
MAXIMINO,4827,61.1
JOSE PEDRO,4824,43.2
CARLOS JOSE,4788,37.4
ROQUE,4780,51.0
HAMID,4761,35.0
ABDERRAHIM,4707,32.9
DUMITRU,4679,41.2
PAUL,4679,33.8
JOSE GABRIEL,4660,38.0
BIEL,4632,4.6
JESUS MIGUEL,4583,38.8
AQUILINO,4580,59.7
BONIFACIO,4577,63.0
MANUEL FRANCISCO,4559,44.0
FRANCISCO BORJA,4553,30.4
GUMERSINDO,4550,61.9
LUIS FRANCISCO,4548,39.7
ABDESLAM,4526,43.6
MANUEL ALEJANDRO,4505,25.9
FABIO,4503,23.8
ANTON,4500,26.2
BILAL,4498,12.3
JOSE RAFAEL,4489,43.5
VICTORINO,4486,64.5
OIER,4440,10.1
ALAN,4397,24.9
IONEL,4382,37.4
HIPOLITO,4373,61.1
JOSE DOMINGO,4373,44.3
HAMZA,4348,12.9
ELEUTERIO,4339,63.3
MARINO,4338,57.0
VIDAL,4334,56.2
JUAN ENRIQUE,4310,41.3
DIDAC,4305,15.2
IGNASI,4284,30.3
NORBERTO,4277,49.2
FRANCISCO ASIS,4210,39.9
AIMAR,4209,6.6
MELCHOR,4209,56.0
DRISS,4199,38.4
ARSENIO,4196,61.0
ROSENDO,4186,57.7
KARIM,4175,25.2
JESUS JAVIER,4162,38.9
ORLANDO,4159,43.1
JUAN DAVID,4156,20.7
VIRGILIO,4133,59.3
HIGINIO,4114,60.6
JORGE JUAN,4113,38.6
ADAN,4093,19.3
AYOUB,4067,9.4
LUIS ALFONSO,4062,39.7
MARKEL,4061,8.3
ALBERTO JOSE,4042,34.7
SEVERINO,4002,63.0
VICENTE JOSE,3996,42.4
URBANO,3980,62.1
PABLO JOSE,3970,30.5
MAMADOU,3964,32.8
PETER,3960,53.0
JAMAL,3948,31.5
VICTOR JOSE,3926,33.2
CARLOS ENRIQUE,3915,40.3
JUAN FERNANDO,3890,40.7
AUGUSTO,3889,52.9
ANIBAL,3868,41.9
JOSE PABLO,3861,36.8
JUAN GABRIEL,3855,31.5
CEFERINO,3854,61.2
NOEL,3844,20.4
VENANCIO,3842,61.9
VIOREL,3832,39.4
ANTONIO MARIA,3825,48.2
PELAYO,3791,20.8
ALAIN,3771,22.1
INOCENCIO,3769,63.0
JOSE ALEJANDRO,3768,31.2
BAUTISTA,3762,65.1
JOSE TOMAS,3760,43.6
JOHN,3759,52.8
AZIZ,3753,31.8
JOSE JESUS,3704,44.9
ABELARDO,3698,56.0
MAXIMILIANO,3693,49.7
MARCOS ANTONIO,3667,34.8
CARLOS ANTONIO,3638,38.3
PRIMITIVO,3636,64.6
GUSTAVO ADOLFO,3604,36.1
JOSE ALFONSO,3564,44.1
JOSE EMILIO,3564,45.5
VICENT,3562,27.1
IBRAHIM,3530,18.9
DENIS,3525,16.6
IBON,3512,25.2
ISAIAS,3483,45.5
JOSE EDUARDO,3467,41.5
GENARO,3463,58.5
LUIS EDUARDO,3462,34.1
MIGUEL ANTONIO,3442,42.3
EDUARDO JOSE,3441,35.4
SAMIR,3435,25.4
AGAPITO,3432,65.1
PEDRO ANGEL,3417,41.1
RICHARD,3402,34.4
NEMESIO,3389,63.1
YASSINE,3379,17.3
JOSE BENITO,3372,53.1
JORGE MANUEL,3369,36.0
PEDRO JUAN,3369,46.3
FRANCISCO RAMON,3360,42.2
LEONCIO,3359,63.6
PRUDENCIO,3354,61.2
BRAULIO,3344,54.9
GAIZKA,3340,20.8
IBAN,3335,28.5
ELOI,3319,16.4
SECUNDINO,3312,64.0
ANGEL JOSE,3301,42.9
MOUSSA,3292,31.6
JOSE JULIAN,3286,43.5
CONRADO,3280,55.3
ANTONIO DAVID,3264,22.4
MANUEL MARIA,3261,47.8
VICTOR HUGO,3255,33.8
NOUREDDINE,3243,33.5
ENRIQUE JOSE,3238,39.1
DELFIN,3224,59.5
BEÑAT,3211,13.6
MIMOUN,3202,40.9
JOSE RAUL,3187,35.9
ALEJANDRO JOSE,3174,25.1
JESUS ALBERTO,3171,35.1
FAUSTO,3156,57.5
JOSE AGUSTIN,3149,46.2
JOSE RICARDO,3131,43.0
LUIS FELIPE,3131,38.2
NABIL,3119,20.2
MOHAMMAD,3092,38.7
JUAN RAFAEL,3083,41.5
OVIDIO,3073,60.8
ALEJO,3068,43.0
AMBROSIO,3059,62.7
ADIL,3045,24.9
ANICETO,3044,62.8
INDALECIO,3041,57.5
GABINO,3024,59.5
AGUSTI,3018,51.0
JUAN CRUZ,3012,50.0
JORGE ANTONIO,3005,36.5
LUCA,3003,16.4
IONUT,2995,25.3
FERNANDO JAVIER,2981,37.8
CARLOS ANDRES,2978,26.9
NOE,2975,22.7
ARKAITZ,2973,22.9
GEORGE,2965,38.0
HUMBERTO,2964,43.8
ANGEL ANTONIO,2953,42.8
ANDREI,2948,24.4
JON ANDER,2919,21.8
CARLOS JESUS,2898,34.2
DIEGO JOSE,2892,30.0
SABINO,2889,61.8
LUIS JOSE,2871,41.5
HELIODORO,2859,63.5
ANAS,2854,7.6
JOSE JULIO,2854,44.6
DESIDERIO,2800,61.1
SILVESTRE,2799,56.3
CESAR AUGUSTO,2796,37.0
NICANOR,2790,58.0
ISMAIL,2787,19.6
ENDIKA,2786,18.4
MOSTAFA,2782,37.9
THOMAS,2775,39.9
LINO,2765,55.8
ESTEVE,2761,43.8
SIXTO,2752,57.7
SEVERIANO,2751,61.3
PETRU,2730,40.5
HONORIO,2722,63.8
CARLOS MIGUEL,2702,36.5
HERMENEGILDO,2692,61.3
JULIO ALBERTO,2691,30.1
HORACIO,2690,56.0
ESTANISLAO,2658,55.8
LANDER,2658,16.9
ANTONIO ANGEL,2651,39.6
ABDELLATIF,2639,34.6
FLORIAN,2626,47.0
PABLO ANTONIO,2622,34.3
PEDRO FRANCISCO,2607,42.2
ANTOLIN,2606,60.1
ZAKARIA,2597,12.8
BENEDICTO,2596,62.8
RAYAN,2591,2.2
RUBEN DARIO,2590,33.2
ANTONIO RAMON,2589,44.1
EUSTAQUIO,2584,62.2
DAMASO,2577,56.4
VENTURA,2570,57.8
JUAN ALFONSO,2556,42.8
LUIS MARIANO,2554,43.0
ADRIANO,2545,40.8
ALBINO,2540,61.2
GIOVANNI,2529,31.1
MHAMED,2529,40.3
COSTEL,2527,36.1
JACOB,2520,27.2
LEON,2515,51.6
CELEDONIO,2509,61.8
MARIN,2509,43.9
YASSIN,2492,11.8
AXEL,2488,15.5
LLORENÇ,2486,36.4
MAX,2483,10.8
VLADIMIR,2479,36.8
ALESSANDRO,2478,25.6
JUAN SEBASTIAN,2458,27.2
ABDELILAH,2451,30.1
ABDERRAHMAN,2448,35.7
ANGEL JESUS,2441,35.2
VOLODYMYR,2433,39.3
VICENÇ,2432,47.8
LUIS IGNACIO,2424,42.6
ARTUR,2423,29.6
YOUNES,2421,21.1
LEO,2413,5.6
IBRAHIMA,2412,31.3
NELSON,2411,32.0
CARLOS LUIS,2410,41.8
EFREN,2410,32.1
LAHCEN,2407,36.7
URKO,2404,18.2
SALAH,2402,37.1
ERNEST,2401,36.8
JOSE MARTIN,2399,45.7
EPIFANIO,2398,63.6
SILVERIO,2398,57.9
NICASIO,2395,62.9
RENE,2395,37.4
VICENTE JAVIER,2393,39.6
WILLIAM,2386,42.4
FRANCISCO DAVID,2383,27.1
RAFAEL ANTONIO,2372,40.7
GENIS,2365,19.4
ARCADIO,2362,59.0
JONAS,2360,27.0
OLEGARIO,2359,61.8
JOSE GREGORIO,2345,40.5
WENCESLAO,2341,54.4
JULIO JOSE,2337,34.9
ARGIMIRO,2332,64.1
BRYAN,2330,11.4
JOSE ALFREDO,2326,43.5
ANGEL FRANCISCO,2316,41.3
SERVANDO,2316,57.9
AMADO,2295,59.7
KAMAL,2295,27.0
KILIAN,2284,13.3
MOURAD,2281,28.7
CHRISTOPHER,2278,29.1
GILBERTO,2266,49.4
ABILIO,2259,62.4
JUSTINO,2259,63.1
JORGE ALBERTO,2253,39.9
DONATO,2246,63.4
JUAN SALVADOR,2243,40.4
IULIAN,2237,33.3
JESUS DAVID,2234,26.2
NARCIS,2231,46.8
RAFAEL ANGEL,2230,39.8
ANXO,2227,10.6
BALBINO,2227,61.8
TARIK,2227,24.9
JUAN DANIEL,2226,28.7
LLUC,2226,9.1
MANUEL LUIS,2226,47.8
VICENTE MANUEL,2216,43.3
AUREL,2200,41.5
SORIN,2200,34.3
CARLOS EDUARDO,2197,31.7
ANDRES FELIPE,2195,20.0
FERNANDO MANUEL,2195,38.6
ILIE,2189,40.4
OLEKSANDR,2186,34.5
CRESCENCIO,2179,67.1
IGNACIO JAVIER,2179,39.3
MIGUEL JOSE,2175,41.6
AMANCIO,2166,59.2
ZACARIAS,2162,54.5
ABRAHAN,2156,22.7
JESUS FRANCISCO,2150,42.4
EDER,2148,14.7
EMIL,2141,38.2
FARID,2141,34.1
SEBASTIA,2138,44.8
EL HASSAN,2135,40.9
RAFAEL JESUS,2134,33.5
AYMAN,2125,5.5
JUAN JAVIER,2119,37.7
DIEGO JESUS,2118,29.7
FRANCISCO PAULA,2116,42.7
OSCAR LUIS,2111,40.5
REMIGIO,2103,61.2
FOUAD,2102,29.2
JOSEP LLUIS,2099,45.6
JOSE SALVADOR,2097,46.0
MANUEL RAMON,2094,47.3
JOSE PASCUAL,2088,45.7
VICTORIO,2087,62.7
JONAY,2085,21.6
MANUEL ENRIQUE,2081,42.0
JULIO ANTONIO,2066,46.7
EKAITZ,2064,13.9
DIEGO FERNANDO,2055,28.8
WALTER,2054,46.5
AURELIANO,2052,63.1
ANTONIO CARLOS,2049,40.1
ABDELKARIM,2048,29.9
OSCAR MANUEL,2044,33.6
RICARDO JOSE,2028,36.8
PERFECTO,2027,63.3
CARLOS MARIA,2023,45.0
LUIS JESUS,2016,41.5
FRANCISCO GABRIEL,2012,36.7
JORGE ENRIQUE,1991,39.0
BUENAVENTURA,1987,59.5
TIMOTEO,1983,64.3
UNAX,1980,4.6
JOSEP M,1977,61.7
ANTONIO JUAN,1975,43.8
RAFAEL JOSE,1972,39.5
HERNAN,1965,30.3
PATRICK,1965,33.1
VICTOR JAVIER,1963,32.1
MUSTAFA,1958,36.5
ANGEL MIGUEL,1953,43.2
EGOITZ,1952,19.5
JOSE ROBERTO,1951,41.8
ROMUALDO,1949,57.6
CIRILO,1947,65.4
EMMANUEL,1943,26.8
ABDELKRIM,1933,37.3
ANTONINO,1930,62.1
IGNACIO JOSE,1929,36.2
GEORGI,1926,35.1
DAN,1914,31.9
JOKIN,1905,21.6
LUIS ALFREDO,1893,37.1
ABDELMAJID,1890,36.1
MOUNIR,1887,25.6
DIMAS,1877,46.9
CARLOS FRANCISCO,1875,38.0
ABDERRAHMANE,1870,35.8
JUAN DOMINGO,1869,46.4
PABLO JESUS,1868,29.2
VASYL,1868,40.4
FRANK,1859,39.2
FRANCISCO VICENTE,1858,45.5
LAURENTINO,1858,63.5
ALFONSO JOSE,1856,36.5
DOROTEO,1856,66.0
JESUS JOSE,1855,49.3
GIUSEPPE,1854,47.2
YAHYA,1854,27.7
CARLOS DANIEL,1833,23.7
ADAY,1830,12.2
ABDOULAYE,1827,32.9
FERNANDO JESUS,1816,35.8
ABDELALI,1814,30.9
JESUS RAMON,1811,44.6
MANUEL VICENTE,1811,45.7
EMETERIO,1807,64.8
GIL,1805,49.1
ABDELHAK,1798,33.4
JAMES,1798,48.3
ANDRIY,1796,31.1
GAEL,1790,5.1
ANGEL DAVID,1789,24.5
ANTHONY,1789,36.7
ACHRAF,1784,12.0
JOSE SANTIAGO,1783,46.3
COSME,1775,53.2
PABLO MANUEL,1774,29.7
CORNEL,1773,39.6
CATALIN,1772,29.2
MANUEL FERNANDO,1770,44.5
CARLOS DAVID,1757,25.9
ENRIQUE MANUEL,1757,40.0
YOEL,1754,10.6
ABDELGHANI,1751,31.9
FRANCESCO,1744,38.3
JAOUAD,1735,27.3
TONI,1735,14.2
DIEGO MANUEL,1733,31.5
JESUS IGNACIO,1731,43.0
ALVARO JOSE,1728,25.4
AMALIO,1723,58.5
DANIEL JESUS,1721,24.1
ANGEL JAVIER,1713,38.2
AMABLE,1710,62.4
LUIS RAMON,1709,45.9
ANDRE,1706,28.1
LUIS DAVID,1706,21.7
YERAI,1701,8.6
BARTOMEU,1697,37.5
JESUS CARLOS,1696,43.3
EDELMIRO,1694,62.4
ANTONIO VICENTE,1693,45.9
NIKOLAY,1689,34.5
JOSE EUGENIO,1683,47.2
WALID,1681,9.0
ANTONIO RAFAEL,1675,41.5
BELTRAN,1675,11.9
FRUCTUOSO,1672,64.3
IMAD,1672,16.6
FRANCISCO JUAN,1668,44.6
JOSE JORGE,1663,43.0
FRANCISCO RAFAEL,1661,39.9
LISARDO,1657,55.6
JUAN AGUSTIN,1656,47.6
JUAN ESTEBAN,1653,31.3
PAVEL,1653,35.0
ALEJANDRO MANUEL,1648,24.6
MANUEL ALBERTO,1640,38.6
AMIN,1637,10.5
ALFONSO CARLOS,1633,47.4
JOSE IVAN,1632,29.4
LUIS VICENTE,1629,44.3
MARCIANO,1629,64.4
MICHEL,1628,34.7
GUZMAN,1624,34.0
MARK,1623,26.0
CIRIACO,1620,65.4
LUIS ALEJANDRO,1619,27.8
ABDELHAMID,1616,36.7
FERNANDO LUIS,1616,45.3
MACARIO,1616,63.7
FACUNDO,1613,51.5
MAHAMADOU,1604,26.9
JUAN FELIPE,1600,35.0
ANDREA,1597,30.9
JOSE MARIO,1597,42.2
OUSSAMA,1596,12.5
ROLANDO,1594,41.4
LUCIAN,1590,33.6
KOLDO,1588,27.4
ANDRES JESUS,1585,32.2
JOSE GUILLERMO,1585,41.9
ULISES,1585,23.8
RAFEL,1582,41.4
JESUS LUIS,1580,49.3
MIGUEL MARIA,1579,49.2
MANUEL CARLOS,1576,44.3
ALBERTO MANUEL,1574,34.7
NATALIO,1574,56.3
ONOFRE,1571,53.1
MIRCEA,1570,41.0
HERIBERTO,1566,49.0
EVELIO,1565,59.7
FRANCISCO DANIEL,1564,29.3
JUAN MARCOS,1562,35.4
JOAN CARLES,1560,38.8
CALIXTO,1551,61.6
JOAN JOSEP,1545,41.8
JUAN TOMAS,1545,47.7
ENRIQUE JAVIER,1544,38.1
FRANCISCO ANGEL,1543,42.0
SANTIAGO JOSE,1538,35.5
PABLO JAVIER,1535,29.8
JOSHUA,1531,17.8
FREDERIC,1530,43.2
REYES,1530,52.5
JOSE FELIPE,1529,46.3
SALUSTIANO,1525,62.3
MIQUEL ANGEL,1520,31.5
SENEN,1517,50.0
JOSEPH,1515,43.4
UBALDO,1513,56.9
PAULO,1511,29.8
RAMON JOSE,1508,45.4
SERGIO MANUEL,1508,30.2
JUAN MARTIN,1499,42.0
ARIEL,1495,23.0
MIGUEL JESUS,1495,35.1
PORFIRIO,1492,63.5
AMAR,1491,41.7
DANIEL ALEJANDRO,1486,20.1
OSCAR JAVIER,1484,34.2
ABDESSAMAD,1483,26.7
FORTUNATO,1480,66.6
OUSMANE,1477,32.4
JOSE JAIME,1472,44.1
MOUSTAPHA,1465,34.3
CRISTOFER,1462,18.3
REGINO,1461,60.1
JULIO MANUEL,1458,42.0
JOSE DAMIAN,1456,39.3
AMANDO,1453,58.6
DENNIS,1452,26.2
DYLAN,1452,6.3
JOSE DIEGO,1452,36.8
AMINE,1451,15.6
LIVIU,1449,37.6
JUAN EMILIO,1441,42.2
SOUFIANE,1440,17.7
LADISLAO,1439,58.4
AIRAM,1436,15.7
ABDELHADI,1435,33.6
BOGDAN,1434,28.6
SANDRO,1433,20.8
KEPA,1432,31.6
DANUT,1429,37.1
JOSE MARIANO,1425,47.0
VIKTOR,1425,37.2
JOSEP ANTONI,1421,43.8
ROI,1420,14.0
ALBERTO JESUS,1419,31.8
RONALD,1416,46.6
DAVID JOSE,1412,29.1
RUPERTO,1409,60.7
ISIDRE,1403,56.9
AMADOU,1401,32.5
GERVASIO,1398,61.7
ALBERTO JAVIER,1394,35.2
ILIAS,1394,8.8
ATANASIO,1393,61.6
TELMO,1393,21.4
NAZARIO,1392,60.6
JOSE ESTEBAN,1388,44.2
CRUZ,1387,61.5
EL MOSTAFA,1386,39.1
NACHO,1386,4.9
DIEGO ANTONIO,1374,33.3
DANIEL JOSE,1371,28.7
JUAN FELIX,1369,47.8
CASTO,1363,59.3
