nombre,frec,edad_media
MARIA EUGENIA,27999,42.8
AMELIA,27734,60.0
TANIA,27089,20.2
JOAQUINA,26536,65.1
JESSICA,26478,21.9
JUANA MARIA,25767,46.3
LEONOR,25054,59.0
PETRA,25023,67.5
MARTINA,24627,29.2
LAIA,24501,13.3
CARMEN MARIA,24127,30.4
MARIA ROCIO,23946,34.5
JULIANA,23651,64.4
DIANA,23609,23.5
MARIANA,23493,44.9
GUADALUPE,23134,51.7
BARBARA,22842,36.2
AGUSTINA,22753,63.1
ROSALIA,21808,57.1
LETICIA,21781,25.3
CECILIA,21688,47.0
ELISABET,20854,28.2
ADORACION,20637,60.7
MARIA ENCARNACION,20370,53.4
ARIADNA,20301,10.8
MARIA MAGDALENA,20025,48.2
CARLOTA,19806,17.4
JENNIFER,19639,19.9
MARIA FRANCISCA,19506,53.2
JUDITH,19438,19.5
ESTRELLA,19381,48.1
ESTER,19105,31.9
SHEILA,18641,18.5
JUDIT,18043,19.9
LEIRE,18016,15.6
EUGENIA,17877,59.0
VALENTINA,17580,47.6
MARIA GLORIA,17427,53.8
LARA,17407,15.4
EMMA,17369,20.7
MARIA MILAGROS,17324,55.0
RUTH,17296,27.2
SORAYA,17292,23.6
GABRIELA,17278,32.2
MARIA CONSUELO,17226,53.3
MARIA MONTSERRAT,17042,47.7
AITANA,17022,5.9
EULALIA,16883,59.8
MARIA YOLANDA,16810,43.4
HERMINIA,16802,64.4
BERTA,16727,26.5
ALEXANDRA,16611,21.6
ENRIQUETA,16561,66.5
AINARA,16092,12.7
AROA,15884,12.8
AIDA,15719,24.1
ELISABETH,15186,29.4
HELENA,15014,18.2
GREGORIA,15008,68.7
FLORENTINA,14696,60.8
PIEDAD,14562,61.9
AURELIA,14279,64.2
MARIA REYES,14179,44.4
MARIA REMEDIOS,14115,50.1
NADIA,13997,21.6
ERIKA,13824,16.9
MACARENA,13622,24.8
CANDIDA,13611,65.8
ESTELA,13393,22.5
MARIA ARANZAZU,13301,44.4
MIRIAN,13258,22.8
MARIA TRINIDAD,13139,45.6
ARANZAZU,12866,32.6
MARIA ESPERANZA,12783,49.3
NAIARA,12778,12.5
TATIANA,12672,25.9
AMAIA,12339,26.8
PAOLA,12316,14.4
YAIZA,12019,13.5
CANDELA,11977,7.7
SAGRARIO,11940,61.4
MAITE,11871,30.9
ITZIAR,11848,27.1
SARAY,11806,14.7
JOANA,11722,32.8
MERCE,11694,52.3
CARIDAD,11666,57.8
TOMASA,11615,69.4
AMANDA,11458,21.0
RITA,11400,52.1
TEODORA,11335,65.7
VALERIA,11262,12.7
ANA ROSA,11217,42.2
ELSA,11151,24.1
NOA,11120,4.6
FELICIDAD,11099,64.7
MARIA CARME,10991,52.4
BENITA,10986,67.9
MAR,10901,10.3
FILOMENA,10842,68.2
ANTONIA MARIA,10841,44.5
AFRICA,10814,29.7
AGUEDA,10777,53.9
ADELINA,10741,62.0
MARIA SOL,10691,45.7
MARIA MANUELA,10689,56.9
MERITXELL,10510,25.7
CONSOLACION,10481,56.9
CARME,10366,58.6
MARIA JULIA,10361,50.3
HORTENSIA,10315,65.1
DESIREE,10291,17.6
CANDELARIA,10282,58.6
MARIA INES,10234,47.3
ROSER,10183,48.6
NORA,10137,13.4
ELIZABETH,10132,32.2
AINA,10105,10.4
MARIA FERNANDA,10011,40.2
MARCELINA,9959,68.7
ELOISA,9953,58.1
MARIA GRACIA,9919,50.1
ADELAIDA,9914,58.5
MARIA ASCENSION,9763,53.2
MARIA CANDELARIA,9689,48.6
ESMERALDA,9672,35.8
NEUS,9667,29.2
LYDIA,9593,23.6
MARIA DOLORS,9559,56.0
FLORA,9355,63.8
ALBA MARIA,9302,16.1
ANA CRISTINA,9260,33.2
MARIA PURIFICACION,9254,57.4
VISITACION,9193,66.5
IRIS,9120,16.4
KHADIJA,8989,31.3
VIOLETA,8938,27.6
FERNANDA,8871,60.0
AMAYA,8866,32.0
MICAELA,8853,58.7
ANE,8793,13.1
MARIA SAGRARIO,8669,55.3
AZUCENA,8667,41.7
IRIA,8633,14.4
MONSERRAT,8574,41.1
MARIA PINO,8503,52.2
MARIA AURORA,8487,51.4
PAULINA,8483,60.7
REGINA,8428,54.3
AVELINA,8424,67.6
LEYRE,8331,11.1
ANNA MARIA,8287,45.5
ANGELA MARIA,8202,34.5
JENIFER,8139,20.1
FUENSANTA,8082,54.1
FLORENCIA,8078,63.4
ESTIBALIZ,8026,28.0
ELENA MARIA,8014,32.9
MARIA BLANCA,8010,52.6
ANABEL,8001,22.1
DOLORS,7978,65.4
VIRTUDES,7952,62.9
DELFINA,7832,66.0
MARIA SOCORRO,7812,60.2
SALVADORA,7805,62.5
JIMENA,7795,7.3
GISELA,7733,19.2
FELIPA,7721,70.0
SEBASTIANA,7698,64.1
JESUSA,7665,71.7
MARIA AUXILIADORA,7663,42.9
LUISA MARIA,7593,41.0
JUSTA,7542,68.8
GENOVEVA,7506,59.1
DELIA,7487,45.0
ROSA ANA,7474,37.8
MARIA VALLE,7450,45.0
PATROCINIO,7440,67.3
LOLA,7406,8.2
ELIA,7286,35.5
MARIA GUADALUPE,7269,47.3
MARIA PALOMA,7246,46.8
MARTA MARIA,7236,34.9
YASMINA,7200,16.6
MARIA LUCIA,7152,44.7
MARIA ESTRELLA,7096,50.4
ALFONSA,7086,64.0
NAZARET,7033,16.1
IRINA,7030,28.2
ANGELICA,7022,38.6
LORENZA,7022,66.8
PALMIRA,7011,64.7
ISIDORA,7009,66.4
ANGELINA,7004,59.6
AUREA,7003,63.9
ARANTXA,6988,23.0
MARISOL,6937,42.4
AICHA,6886,38.4
MARIA GEMA,6874,38.6
SABINA,6853,53.5
OBDULIA,6809,66.3
EDURNE,6808,26.9
MARIA ELISA,6803,49.2
MARIA ANGELS,6794,50.0
LAURA MARIA,6792,25.7
MARIA DESAMPARADOS,6737,51.4
NAIMA,6729,33.0
LILIANA,6705,34.8
LUZ MARIA,6643,36.1
MARIA VICENTA,6611,52.3
INES MARIA,6577,38.7
IDOIA,6567,31.7
DIONISIA,6564,69.1
MIHAELA,6532,31.6
MARIA CINTA,6527,54.1
INMACULADA CONCEPCION,6526,35.3
MARIA SONIA,6505,38.8
JACINTA,6503,66.8
FABIOLA,6493,35.0
MARIA OLGA,6481,50.7
AINOA,6478,13.4
MARIA NATIVIDAD,6468,56.3
ZAIRA,6466,11.7
OLIVIA,6464,25.8
DESAMPARADOS,6455,60.5
IRATI,6408,10.5
MODESTA,6352,68.1
INGRID,6345,26.3
BRIGIDA,6344,62.4
MARIA ANGELA,6332,54.2
RUFINA,6308,69.0
GRACIA,6231,57.1
NAYARA,6204,6.1
ROSANA,6177,30.4
IZASKUN,6081,33.0
REYES,6070,44.1
CARMEN ROSA,6045,47.1
CLOTILDE,6042,66.4
JESICA,6033,23.4
EVANGELINA,6021,60.7
ANGUSTIAS,5989,64.4
MARIA JUANA,5986,60.6
OTILIA,5970,65.5
JANA,5942,11.9
BIENVENIDA,5922,62.8
SOCORRO,5913,66.1
MARIA FATIMA,5911,41.7
EMILIANA,5903,68.8
BALBINA,5887,67.7
SALMA,5886,6.8
MARIONA,5878,13.8
CORAL,5856,21.1
MARIA BEATRIZ,5847,40.2
MARIA ANGUSTIAS,5805,51.2
MARIA ARACELI,5770,47.5
URSULA,5753,46.5
IRATXE,5747,24.5
GERTRUDIS,5736,62.8
DOMINGA,5730,65.6
MALIKA,5727,41.2
MAIDER,5675,19.8
MIREYA,5664,18.3
SAMIRA,5647,26.6
MARIA PIEDAD,5641,53.2
GEORGINA,5600,31.2
DEBORA,5536,23.7
LUNA,5458,9.6
TERESA JESUS,5433,49.2
ANASTASIA,5374,54.1
FELICIANA,5325,67.9
EUSEBIA,5323,70.3
JOSEFA MARIA,5310,50.6
IGNACIA,5261,68.7
YANIRA,5259,11.0
ENCARNA,5242,56.3
SONIA MARIA,5241,34.6
VICTORINA,5226,71.9
FATIHA,5216,35.2
MARIAM,5216,14.1
DAVINIA,5201,22.9
FELICITAS,5136,69.8
MARIA ALEJANDRA,5134,30.5
NAGORE,5122,21.0
ENGRACIA,5103,68.7
OLGA MARIA,5063,38.5
MARCELA,5052,48.9
MARIA NURIA,5034,46.1
ALEXIA,5023,10.7
INOCENCIA,5003,67.9
PRESENTACION,4967,67.2
RACHIDA,4967,36.3
NICOLASA,4941,68.1
ILUMINADA,4937,63.5
MARIA AZUCENA,4913,47.2
ABRIL,4910,4.9
AZAHARA,4883,17.1
MARIA CONSOLACION,4867,56.1
AMINA,4822,28.7
FAUSTINA,4802,68.3
SARAI,4764,19.1
MAIALEN,4749,13.3
SATURNINA,4738,71.0
GUILLERMINA,4730,59.2
CRISTINA MARIA,4706,28.9
MARIA RAQUEL,4705,43.6
KARIMA,4704,28.8
MARIBEL,4690,40.2
MARIA ELVIRA,4686,49.3
OLIVA,4684,65.4
MYRIAM,4679,28.6
SALUD,4675,59.9
FERMINA,4667,67.6
FRANCESCA,4662,51.6
CELESTINA,4632,67.7
GLORIA MARIA,4611,38.7
MARIA LAURA,4600,38.6
COVADONGA,4559,38.5
MARIA SALUD,4552,50.3
MARIA PRADO,4522,46.6
MARIA EVA,4518,44.5
SERAFINA,4485,65.9
AYA,4482,3.9
BASILISA,4464,71.2
MARIA ALICIA,4457,50.2
CONCEPCIO,4440,66.7
SAIDA,4406,32.1
ERICA,4398,21.3
MELANIA,4380,24.1
PASCUALA,4372,68.2
MARIA MERCE,4362,48.8
MIREN,4343,32.9
SACRAMENTO,4341,61.3
SILVIA MARIA,4316,32.4
SANDRA MARIA,4292,30.1
MARIA CELIA,4286,53.0
MARIA FE,4281,50.4
LUZ MARINA,4260,42.9
MINERVA,4208,22.0
LAILA,4206,22.7
JULIA MARIA,4191,39.7
OLATZ,4188,23.7
MARIA EMILIA,4170,48.3
ANTIA,4159,11.2
GEMA MARIA,4133,29.7
MARIA ALMUDENA,4133,39.3
VICTORIA EUGENIA,4121,37.0
BENEDICTA,4085,68.5
PASTORA,4081,56.8
ANAIS,4079,14.1
NAROA,4045,9.3
LORETO,4039,39.1
FRANCISCA MARIA,4035,43.9
MAITANE,4028,18.9
IOANA,4014,39.1
ANA CARMEN,4013,42.4
CINTIA,3990,18.1
MARIA MARGARITA,3990,51.1
UXUE,3973,8.4
SARA MARIA,3961,27.1
NICOLETA,3952,31.6
PAZ,3929,55.2
ENCARNACIO,3918,66.1
LATIFA,3898,35.3
MARIA FELISA,3884,54.6
ELISA ISABEL,3882,36.9
PAULA MARIA,3868,22.9
GRACIELA,3865,37.5
JACQUELINE,3862,40.2
CLARA ISABEL,3861,38.6
JERONIMA,3861,64.8
CAMILA,3857,38.9
CLEMENTINA,3843,67.0
BOUCHRA,3842,28.0
MARAVILLAS,3840,54.2
EIDER,3834,16.4
ICIAR,3834,30.7
BIBIANA,3828,43.1
ALINA,3812,25.7
MARA,3808,11.5
CASILDA,3805,62.4
SIMONA,3788,44.4
HANANE,3778,26.3
LUZ,3758,54.2
LINA,3731,36.0
RUT,3726,23.9
CELSA,3715,66.3
ANUNCIACION,3714,69.2
JUNE,3713,13.5
NICOLE,3674,18.5
NAHIA,3665,6.3
VICTORIANA,3646,70.5
SAIOA,3625,19.9
OFELIA,3569,61.5
MARIA ADELA,3567,49.9
MARIA EULALIA,3553,49.4
PRIMITIVA,3545,70.7
SALOME,3528,38.8
LUCIANA,3524,52.4
BERNARDA,3516,65.3
MARIA SANDRA,3487,35.5
VERA,3466,20.4
ELOINA,3462,66.2
FLORINDA,3454,66.0
MARIA CECILIA,3454,44.4
XENIA,3452,14.0
ZAIDA,3452,20.1
MARIA SUSANA,3446,42.2
SAMARA,3437,11.1
SABRINA,3427,22.5
UXIA,3414,8.5
MAXIMA,3404,68.9
ISOLINA,3392,68.9
NAIA,3384,6.6
SOUAD,3376,30.9
DESIRE,3367,17.0
FIDELA,3325,70.2
CLARA MARIA,3321,33.0
HAFIDA,3310,36.4
SARAH,3284,18.9
MAXIMINA,3256,69.0
NELIDA,3256,53.8
MARIA AMOR,3253,50.5
ELISENDA,3252,34.9
MARIA VANESA,3246,30.8
OIHANE,3243,15.1
JANIRE,3242,18.3
JUSTINA,3221,67.3
YASMIN,3221,9.7
VIORICA,3209,43.0
MARIYA,3199,41.1
NAJAT,3191,33.0
MARIA OLIVA,3187,53.1
ZOHRA,3186,43.1
LUCRECIA,3177,58.5
CAYETANA,3166,28.8
YESICA,3163,23.2
ROSA ISABEL,3155,42.5
BASILIA,3151,65.9
MARIA LORENA,3128,31.9
AITZIBER,3125,28.1
MARIA VIRGINIA,3120,41.4
YESSICA,3120,22.2
YURENA,3118,23.6
ELADIA,3113,67.5
CYNTHIA,3103,18.6
KAREN,3097,22.7
MARIA CLARA,3086,47.9
PAMELA,3070,30.3
MARIA CAMINO,3066,47.2
MARIA ESTER,3059,41.3
EDELMIRA,3055,67.1
ISIDRA,3054,68.3
THAIS,3052,18.6
MARIA ESTELA,3049,37.5
TERESA MARIA,3043,42.6
MARIA VISITACION,3041,60.1
ARGENTINA,3015,67.0
EVELYN,3015,21.0
MELANIE,2998,18.6
AMAL,2981,20.3
APOLONIA,2981,65.3
IRUNE,2979,18.6
ARANTZA,2974,40.2
MARIA AGUSTINA,2948,52.5
SUSANA MARIA,2941,36.9
DOROTEA,2938,68.2
TEOFILA,2934,72.2
MARIA CATALINA,2926,49.8
DULCE MARIA,2923,43.2
MARIA AMELIA,2921,54.5
ANA TERESA,2914,41.9
BLANCA MARIA,2908,35.2
MIGUELA,2907,65.4
CRISTOBALINA,2906,58.8
NATALIYA,2894,37.4
PRUDENCIA,2891,68.8
SONSOLES,2888,37.8
MARIA LEONOR,2877,48.7
MARIA LORETO,2876,48.0
BERNARDINA,2874,66.6
ALMA,2873,11.5
MARIA ANGELICA,2857,44.1
BELINDA,2853,30.8
FELICIA,2852,55.5
JAMILA,2846,33.3
ZAHRA,2841,37.3
MARIA GEMMA,2838,41.5
MARIA VIRTUDES,2838,50.2
LUCILA,2835,61.3
ARANCHA,2831,17.4
RODICA,2828,41.4
ALICIA MARIA,2824,33.9
NARCISA,2822,65.4
NINA,2820,34.1
MARIA ADORACION,2817,57.1
NEKANE,2816,26.9
CARMELA,2796,46.4
ELISA MARIA,2793,36.7
BRENDA,2789,24.3
IKRAM,2786,16.6
HAIZEA,2782,9.9
MARIA FLOR,2774,51.3
LUISA FERNANDA,2761,35.8
MARIA LLANOS,2758,45.2
MARIA SANTOS,2758,56.9
CARMEN DOLORES,2757,45.3
MARIA SALOME,2750,49.2
ANGELITA,2745,64.7
DAMARIS,2743,23.2
OLALLA,2743,28.4
SEGUNDA,2743,71.1
FATNA,2739,44.2
ESTHER MARIA,2722,33.6
ONA,2715,7.6
HAYAT,2714,27.3
IMAN,2707,10.5
MARIA O,2703,39.4
MELISA,2703,19.5
MARIA SIERRA,2687,48.3
RITA MARIA,2675,40.4
HANAN,2674,25.2
MARIA GABRIELA,2671,34.5
OLIMPIA,2666,55.6
CARMEN DELIA,2665,44.0
SIHAM,2661,21.3
MINA,2657,38.3
ANA LUISA,2650,42.6
ZOE,2646,8.3
DORINDA,2638,69.4
HAJAR,2636,11.5
MARIA IRENE,2633,45.6
GEORGETA,2629,41.8
ANA LUCIA,2622,31.3
MARIA ANA,2612,53.0
ANNE,2609,28.7
OLAYA,2603,22.4
BENIGNA,2601,69.4
HENAR,2600,22.7
EDUARDA,2599,63.5
DIANA MARIA,2596,29.3
DINA,2592,23.0
JONE,2592,20.8
ARANTZAZU,2584,30.9
RAQUEL MARIA,2579,32.2
AMADA,2575,60.8
ANA PILAR,2575,37.8
DUNIA,2574,18.1
EMERITA,2573,66.9
MARIA FUENSANTA,2571,45.6
MARIA LLUISA,2570,56.6
MARIA MONSERRAT,2570,44.9
NAYRA,2569,15.9
GARAZI,2561,13.5
MARIA COVADONGA,2548,49.0
ARIANA,2527,14.9
IRYNA,2526,35.4
PRISCILA,2526,35.9
RAHMA,2516,45.4
HALIMA,2514,33.0
MILAGROSA,2507,45.1
NANCY,2499,38.8
SVETLANA,2488,39.1
LUZ DIVINA,2483,51.8
DOLORES MARIA,2478,43.4
SABELA,2470,13.2
KARINA,2467,25.7
DAMIANA,2459,64.7
PATRICIA MARIA,2451,28.1
MIRELA,2428,31.5
MARIA RITA,2423,52.3
LEILA,2412,21.5
FATIMA ZOHRA,2399,24.9
CATERINA,2396,31.1
OKSANA,2396,35.4
ROSARIO MARIA,2396,40.3
MARIA ALBA,2391,38.0
MARIA PAULA,2385,39.8
MARIA VANESSA,2382,31.5
ERNESTINA,2366,66.5
ANA VICTORIA,2361,32.5
ROXANA,2358,28.1
MARGARIDA,2352,53.5
MARIA MATILDE,2350,51.7
IZARO,2349,8.3
ADA,2348,17.4
ANITA,2347,54.1
SANTIAGA,2337,66.3
IMANE,2323,16.2
ISAURA,2323,61.1
MARIA CARIDAD,2322,50.1
RESURRECCION,2322,62.6
EUFEMIA,2318,69.6
GUMERSINDA,2307,69.4
PETRONILA,2307,65.7
HILARIA,2306,69.4
PLACIDA,2299,66.1
ROSALINA,2299,59.7
ABIGAIL,2298,20.4
VALERIANA,2297,70.1
ILEANA,2296,41.3
MARIA CELESTE,2296,36.2
CINTA,2293,53.2
LUZDIVINA,2293,65.1
SIRA,2290,36.0
MARISA,2286,39.3
MICHELLE,2286,19.5
GENEROSA,2281,70.9
CASIMIRA,2278,70.1
MELISSA,2278,17.7
MARIA HENAR,2277,45.4
DEBORAH,2264,27.6
HABIBA,2264,43.3
ANGELS,2257,44.5
ZURIÑE,2256,23.4
ALBINA,2255,65.3
RAIMUNDA,2249,71.0
IONELA,2246,28.2
ROSAURA,2243,57.4
VEGA,2237,8.7
CONSTANTINA,2235,65.6
DIGNA,2228,64.7
OLENA,2225,36.9
IRMA,2224,40.7
MONIKA,2223,38.4
ALAZNE,2221,18.9
CRESCENCIA,2220,71.6
FATIMA ZAHRA,2219,15.9
CARMEN PILAR,2214,43.0
MARIA CANDELAS,2208,61.6
EULOGIA,2191,68.6
IMMACULADA,2186,41.2
MARIA JOAQUINA,2183,56.6
LIDIA MARIA,2181,28.7
YAMINA,2181,41.8
LIBERTAD,2180,31.1
CORNELIA,2173,44.7
MARIA RAMONA,2169,57.0
NAOMI,2169,12.9
MARLENE,2165,37.3
MARIA NEUS,2160,44.9
ROGELIA,2156,68.3
SELENE,2156,13.9
TETYANA,2153,38.7
OLAIA,2147,16.6
SVITLANA,2134,39.7
FE,2132,67.7
KATIA,2121,24.1
BLANCA NIEVES,2120,54.7
DOMITILA,2119,69.0
MALAK,2117,2.9
ITXASO,2113,22.9
MARIELA,2107,30.0
NURIA MARIA,2104,32.6
ZORAIDA,2103,30.3
MARIA ENGRACIA,2102,55.3
NORMA,2087,41.0
CONSTANZA,2081,51.7
SEVERINA,2079,69.8
FLORICA,2078,42.7
LOUBNA,2077,23.0
MARIA VERONICA,2073,33.4
CIPRIANA,2070,69.2
EDUVIGIS,2068,58.7
DIVINA,2065,62.7
ENEDINA,2064,67.9
ANGELINES,2063,58.6
MARIA SONSOLES,2063,48.6
MARIA AFRICA,2033,49.5
BLASA,2031,66.8
LOREA,2029,21.7
LUCIA MARIA,2028,28.0
ANA BEATRIZ,2023,33.8
GLADYS,2018,43.0
JAIONE,2018,31.6
ERUNDINA,2017,70.2
MARIA CAROLINA,2017,36.5
CARINA,2008,31.9
MARIA NOELIA,2007,32.7
MARTHA,2007,41.3
MARIAN,1997,25.2
ANTONINA,1992,66.0
GINESA,1989,60.1
MIRELLA,1982,20.6
CATALINA MARIA,1973,38.1
CELIA MARIA,1971,32.9
ANA VANESA,1967,29.8
MARIA SORAYA,1964,38.1
PAULA ANDREA,1962,25.6
ANA PAULA,1958,30.1
MISERICORDIA,1958,56.0
MARGALIDA,1957,35.4
CESAREA,1955,72.1
OLVIDO,1950,65.4
CHRISTINE,1945,52.3
AZIZA,1943,31.3
JANET,1943,36.1
CAMELIA,1942,37.4
JOSEPA,1937,67.2
ANA DOLORES,1935,45.7
JOVITA,1935,64.4
ROMINA,1927,23.9
MARIA ANUNCIACION,1926,62.6
ANA JOSEFA,1925,55.1
BLANCA ESTHER,1925,49.0
LENUTA,1924,39.2
MALENA,1924,8.6
JULITA,1922,65.8
OIHANA,1922,24.3
MONICA MARIA,1921,34.1
JARA,1919,14.1
MARIA JOSEFINA,1913,54.8
PURA,1913,66.6
LIA,1910,14.3
LUCINDA,1907,64.2
JULIETA,1906,25.0
MIRYAM,1906,24.2
CATHERINE,1894,40.2
CANDELAS,1880,65.2
BIANCA,1879,17.4
IULIANA,1876,34.9
MARIA AMALIA,1872,51.8
MARIOLA,1869,23.9
CLAUDINA,1867,65.7
SAADIA,1865,41.5
DOMINICA,1862,68.6
GEMMA MARIA,1861,32.8
ILHAM,1852,21.6
DEMETRIA,1850,70.7
LEOCADIA,1845,65.4
MARIA ESMERALDA,1843,42.1
ROSA ELENA,1841,42.6
BENILDE,1836,68.7
AGNES,1833,34.6
SAMANTHA,1823,19.6
AQUILINA,1819,69.6
AGRIPINA,1816,69.1
ELIANA,1813,26.6
CORINA,1808,35.2
ENCARNACION MARIA,1804,35.5
ETELVINA,1803,68.3
AMERICA,1802,64.0
TRIANA,1797,7.8
CUSTODIA,1796,60.7
NAIRA,1785,15.1
CLAUDIA PATRICIA,1780,34.8
IRENE MARIA,1779,25.6
MARIA CORO,1779,53.2
IVET,1773,8.2
DORA,1771,53.2
MARIA JULIANA,1767,51.9
SILVANA,1767,31.7
CLEMENCIA,1766,64.1
CLAUDIA MARIA,1763,23.5
RABIA,1763,38.9
YLENIA,1762,13.5
MARIA MARTA,1757,46.5
MARTHA CECILIA,1757,41.7
CELESTE,1756,24.7
MARIA EMMA,1754,46.8
SANAE,1754,22.6
MADDI,1751,9.0
PAOLA ANDREA,1751,27.7
LIBRADA,1749,63.8
AINTZANE,1744,28.1
JOANNA,1743,26.3
GARBIÑE,1739,40.3
MARIA ROSER,1732,53.2
DARIA,1730,44.8
MARIA PETRA,1730,58.7
SANDRA MILENA,1728,31.9
FLOR MARIA,1724,42.7
IDAIRA,1719,13.3
AMADORA,1718,66.2
ADOLFINA,1717,63.3
GINA,1709,23.4
MERIEM,1709,24.6
PINO,1702,63.8
JOSUNE,1698,32.1
ENARA,1694,12.5
YOLANDA MARIA,1693,37.4
ANDREEA,1691,18.8
DORINA,1690,41.2
MARGARITA MARIA,1690,46.9
SUSAN,1690,51.0
FARAH,1688,14.7
MARIA FELICIDAD,1683,53.0
IVANA,1682,25.2
ELEUTERIA,1679,70.6
HILDA,1674,52.9
FARIDA,1673,36.8
BLANCA ROSA,1671,49.5
MARWA,1670,3.6
BEATRIZ MARIA,1669,32.4
CEFERINA,1669,68.7
EVELIA,1668,64.9
ALEJANDRINA,1664,63.0
MARGARET,1661,61.6
VASILICA,1657,39.7
ZINEB,1656,26.6
NEREIDA,1652,27.1
NOURA,1652,24.3
IDOYA,1650,34.6
YOANA,1649,23.2
GALA,1648,17.7
MARIA MILAGRO,1642,53.8
MARIA PATRICIA,1637,35.5
MIREN EDURNE,1631,48.2
SELENA,1630,10.3
ESPERANZA MACARENA,1624,28.7
IRAIA,1623,9.3
MARIA TRANSITO,1620,58.4
SYLVIA,1618,45.4
EDITH,1615,40.2
MARIA LIDIA,1614,48.9
RICARDA,1614,69.8
MARIA ICIAR,1613,51.8
LIDIA ESTHER,1609,38.4
CELINA,1608,50.1
MARCIANA,1608,69.7
SUSANNA,1606,35.5
BRUNA,1603,18.8
